 ,Area,Mean,Min,Max,X,Y,Slice
1,0,7637,7637,7637,597,1109,4
2,0,7291,7291,7291,624,1495,4
3,0,7121,7121,7121,627,1082,4
4,0,7099,7099,7099,460,1667,4
5,0,6901,6901,6901,405,1335,4
6,0,6871,6871,6871,721,1034,4
7,0,6751,6751,6751,699,1117,4
8,0,6726,6726,6726,502,1182,4
9,0,6651,6651,6651,555,1673,4
10,0,6565,6565,6565,693,1037,4
11,0,6549,6549,6549,488,1565,4
12,0,6514,6514,6514,651,1718,4
13,0,6349,6349,6349,959,1771,4
14,0,6349,6349,6349,682,1128,4
15,0,6304,6304,6304,632,1476,4
16,0,6296,6296,6296,961,1246,4
17,0,6278,6278,6278,503,551,4
18,0,6213,6213,6213,551,1227,4
19,0,6205,6205,6205,517,1546,4
20,0,6178,6178,6178,502,1474,4
21,0,6172,6172,6172,486,1216,4
22,0,6143,6143,6143,1300,1342,4
23,0,6137,6137,6137,408,1621,4
24,0,6117,6117,6117,461,1337,4
25,0,6099,6099,6099,800,1531,4
26,0,6046,6046,6046,513,1516,4
27,0,6043,6043,6043,498,1372,4
28,0,6001,6001,6001,722,512,4
29,0,5954,5954,5954,930,1665,4
30,0,5889,5889,5889,1241,1351,4
31,0,5870,5870,5870,458,1146,4
32,0,5864,5864,5864,486,578,4
33,0,5862,5862,5862,162,1853,4
34,0,5860,5860,5860,1137,1750,4
35,0,5834,5834,5834,518,669,4
36,0,5809,5809,5809,513,752,4
37,0,5803,5803,5803,1067,1826,4
38,0,5793,5793,5793,746,1792,4
39,0,5783,5783,5783,1259,1639,4
40,0,5781,5781,5781,526,1849,4
41,0,5726,5726,5726,987,1753,4
42,0,5720,5720,5720,465,605,4
43,0,5718,5718,5718,748,1305,4
44,0,5701,5701,5701,984,1138,4
45,0,5685,5685,5685,1323,1904,4
46,0,5663,5663,5663,1117,1840,4
47,0,5656,5656,5656,618,2027,4
48,0,5646,5646,5646,207,1722,4
49,0,5638,5638,5638,627,1704,4
50,0,5634,5634,5634,146,1741,4
51,0,5626,5626,5626,515,744,4
52,0,5624,5624,5624,480,1606,4
53,0,5614,5614,5614,526,1753,4
54,0,5609,5609,5609,802,1126,4
55,0,5607,5607,5607,40,1837,4
56,0,5597,5597,5597,544,2033,4
57,0,5593,5593,5593,1076,1875,4
58,0,5587,5587,5587,1157,1234,4
59,0,5579,5579,5579,699,1393,4
60,0,5555,5555,5555,684,1232,4
61,0,5552,5552,5552,1264,1157,4
62,0,5550,5550,5550,986,1763,4
63,0,5540,5540,5540,487,1264,4
64,0,5534,5534,5534,1082,1065,4
65,0,5518,5518,5518,510,1604,4
66,0,5516,5516,5516,1204,2036,4
67,0,5491,5491,5491,362,1641,4
68,0,5465,5465,5465,918,1690,4
69,0,5442,5442,5442,1161,1609,4
70,0,5434,5434,5434,578,493,4
71,0,5418,5418,5418,1613,1346,4
72,0,5383,5383,5383,417,1571,4
73,0,5373,5373,5373,1132,674,4
74,0,5369,5369,5369,1173,727,4
75,0,5365,5365,5365,679,1073,4
76,0,5353,5353,5353,957,1706,4
77,0,5332,5332,5332,478,1468,4
78,0,5312,5312,5312,1351,1300,4
79,0,5310,5310,5310,598,1563,4
80,0,5302,5302,5302,748,1105,4
81,0,5294,5294,5294,448,1112,4
82,0,5294,5294,5294,618,534,4
83,0,5222,5222,5222,701,1150,4
84,0,5204,5204,5204,442,1733,4
85,0,5202,5202,5202,611,1291,4
86,0,5190,5190,5190,698,1611,4
87,0,5186,5186,5186,1194,1404,4
88,0,5180,5180,5180,1095,953,4
89,0,5175,5175,5175,1606,1566,4
90,0,5175,5175,5175,967,1111,4
91,0,5161,5161,5161,1132,1389,4
92,0,5143,5143,5143,1080,1000,4
93,0,5125,5125,5125,527,1208,4
94,0,5108,5108,5108,1173,702,4
95,0,5104,5104,5104,1285,1052,4
96,0,5092,5092,5092,713,1712,4
97,0,5086,5086,5086,227,1667,4
98,0,5078,5078,5078,5,1825,4
99,0,5074,5074,5074,1081,675,4
100,0,5072,5072,5072,417,1632,4
101,0,5072,5072,5072,1607,1300,4
102,0,5061,5061,5061,968,1220,4
103,0,5027,5027,5027,779,1590,4
104,0,5025,5025,5025,504,565,4
105,0,5010,5010,5010,1119,1294,4
106,0,4994,4994,4994,748,1215,4
107,0,4986,4986,4986,1164,680,4
108,0,4984,4984,4984,608,636,4
109,0,4980,4980,4980,644,616,4
110,0,4964,4964,4964,785,685,4
111,0,4962,4962,4962,370,1638,4
112,0,4962,4962,4962,726,982,4
113,0,4953,4953,4953,519,1709,4
114,0,4929,4929,4929,534,1991,4
115,0,4927,4927,4927,754,1267,4
116,0,4925,4925,4925,1147,1552,4
117,0,4923,4923,4923,612,1973,4
118,0,4923,4923,4923,740,1005,4
119,0,4911,4911,4911,1133,653,4
120,0,4904,4904,4904,1637,1454,4
121,0,4900,4900,4900,155,1573,4
122,0,4892,4892,4892,596,746,4
123,0,4878,4878,4878,1031,1632,4
124,0,4876,4876,4876,1339,1880,4
125,0,4876,4876,4876,754,1695,4
126,0,4864,4864,4864,702,2011,4
127,0,4843,4843,4843,184,1742,4
128,0,4841,4841,4841,631,1251,4
129,0,4831,4831,4831,955,599,4
130,0,4829,4829,4829,1377,1107,4
131,0,4827,4827,4827,402,1700,4
132,0,4823,4823,4823,1499,1672,4
133,0,4799,4799,4799,151,1612,4
134,0,4797,4797,4797,703,2014,4
135,0,4797,4797,4797,940,1927,4
136,0,4792,4792,4792,720,1221,4
137,0,4754,4754,4754,489,1348,4
138,0,4717,4717,4717,271,1638,4
139,0,4699,4699,4699,439,1543,4
140,0,4686,4686,4686,576,1593,4
141,0,4686,4686,4686,594,336,4
142,0,4666,4666,4666,223,1526,4
143,0,4652,4652,4652,1389,1123,4
144,0,4652,4652,4652,1324,690,4
145,0,4636,4636,4636,1080,1507,4
146,0,4623,4623,4623,1645,1578,4
147,0,4611,4611,4611,1824,1904,4
148,0,4605,4605,4605,535,346,4
149,0,4601,4601,4601,557,1321,4
150,0,4589,4589,4589,1171,1714,4
151,0,4589,4589,4589,1074,1046,4
152,0,4583,4583,4583,595,722,4
153,0,4578,4578,4578,1129,1747,4
154,0,4558,4558,4558,944,1672,4
155,0,4556,4556,4556,1132,349,4
156,0,4554,4554,4554,1169,1889,4
157,0,4554,4554,4554,779,1791,4
158,0,4546,4546,4546,1018,1068,4
159,0,4546,4546,4546,1071,997,4
160,0,4542,4542,4542,1595,1355,4
161,0,4538,4538,4538,1278,1227,4
162,0,4536,4536,4536,634,1173,4
163,0,4528,4528,4528,648,1278,4
164,0,4528,4528,4528,1062,1173,4
165,0,4526,4526,4526,652,461,4
166,0,4517,4517,4517,1160,1648,4
167,0,4511,4511,4511,458,1281,4
168,0,4511,4511,4511,625,1158,4
169,0,4509,4509,4509,1356,173,4
170,0,4505,4505,4505,1174,2010,4
171,0,4505,4505,4505,1636,1216,4
172,0,4503,4503,4503,711,1104,4
173,0,4501,4501,4501,1204,468,4
174,0,4497,4497,4497,1520,1677,4
175,0,4485,4485,4485,1075,1234,4
176,0,4481,4481,4481,561,1967,4
177,0,4470,4470,4470,716,1674,4
178,0,4468,4468,4468,514,1642,4
179,0,4466,4466,4466,1107,1870,4
180,0,4440,4440,4440,617,1169,4
181,0,4438,4438,4438,572,1314,4
182,0,4438,4438,4438,1132,988,4
183,0,4434,4434,4434,1012,1220,4
184,0,4428,4428,4428,1646,853,4
185,0,4424,4424,4424,786,1587,4
186,0,4420,4420,4420,1309,1708,4
187,0,4420,4420,4420,260,1578,4
188,0,4395,4395,4395,590,1171,4
189,0,4393,4393,4393,1036,2021,4
190,0,4393,4393,4393,1237,1832,4
191,0,4379,4379,4379,919,1190,4
192,0,4371,4371,4371,767,1455,4
193,0,4369,4369,4369,491,1631,4
194,0,4369,4369,4369,1321,242,4
195,0,4350,4350,4350,1652,1730,4
196,0,4350,4350,4350,923,1612,4
197,0,4350,4350,4350,1076,1108,4
198,0,4334,4334,4334,993,1366,4
199,0,4334,4334,4334,1058,1183,4
200,0,4324,4324,4324,489,1467,4
201,0,4318,4318,4318,917,1856,4
202,0,4316,4316,4316,743,1264,4
203,0,4312,4312,4312,1329,148,4
204,0,4293,4293,4293,1213,929,4
205,0,4285,4285,4285,589,1067,4
206,0,4279,4279,4279,1685,1181,4
207,0,4271,4271,4271,1336,1271,4
208,0,4265,4265,4265,569,1031,4
209,0,4265,4265,4265,605,971,4
210,0,4259,4259,4259,1593,1206,4
211,0,4248,4248,4248,571,1842,4
212,0,4248,4248,4248,1611,1157,4
213,0,4248,4248,4248,429,999,4
214,0,4244,4244,4244,1492,1767,4
215,0,4228,4228,4228,59,1907,4
216,0,4222,4222,4222,1205,1291,4
217,0,4220,4220,4220,519,1153,4
218,0,4216,4216,4216,521,419,4
219,0,4210,4210,4210,1097,2021,4
220,0,4200,4200,4200,1329,437,4
221,0,4191,4191,4191,1228,1407,4
222,0,4187,4187,4187,926,1062,4
223,0,4183,4183,4183,1105,1674,4
224,0,4136,4136,4136,1287,2021,4
225,0,4120,4120,4120,1596,1816,4
226,0,4120,4120,4120,1053,1673,4
227,0,4116,4116,4116,458,1173,4
228,0,4114,4114,4114,1772,1675,4
229,0,4112,4112,4112,1004,1937,4
230,0,4112,4112,4112,1094,1594,4
231,0,4102,4102,4102,1032,1642,4
232,0,4100,4100,4100,450,1503,4
233,0,4100,4100,4100,631,1202,4
234,0,4089,4089,4089,1135,1810,4
235,0,4089,4089,4089,1608,1806,4
236,0,4087,4087,4087,1596,1284,4
237,0,4073,4073,4073,1764,1777,4
238,0,4063,4063,4063,1756,1960,4
239,0,4059,4059,4059,1165,1726,4
240,0,4051,4051,4051,1749,1537,4
241,0,4051,4051,4051,1366,206,4
242,0,4039,4039,4039,1699,776,4
243,0,4034,4034,4034,176,1867,4
244,0,4034,4034,4034,1023,13,4
245,0,4032,4032,4032,1585,1183,4
246,0,4030,4030,4030,1028,1765,4
247,0,4026,4026,4026,555,940,4
248,0,4026,4026,4026,1172,564,4
249,0,4024,4024,4024,1228,1807,4
250,0,4024,4024,4024,701,758,4
251,0,4016,4016,4016,650,1436,4
252,0,3988,3988,3988,1338,512,4
253,0,3984,3984,3984,1078,1707,4
254,0,3981,3981,3981,1874,1450,4
255,0,3981,3981,3981,962,623,4
256,0,3969,3969,3969,632,441,4
257,0,3967,3967,3967,35,1845,4
258,0,3967,3967,3967,709,64,4
259,0,3965,3965,3965,1394,273,4
260,0,3957,3957,3957,1567,1700,4
261,0,3931,3931,3931,585,765,4
262,0,3928,3928,3928,732,1781,4
263,0,3928,3928,3928,1760,1337,4
264,0,3922,3922,3922,1363,1286,4
265,0,3920,3920,3920,740,1315,4
266,0,3916,3916,3916,1602,1637,4
267,0,3914,3914,3914,1213,1628,4
268,0,3912,3912,3912,1789,1784,4
269,0,3910,3910,3910,1307,785,4
270,0,3906,3906,3906,1730,1958,4
271,0,3904,3904,3904,1210,505,4
272,0,3902,3902,3902,1353,236,4
273,0,3894,3894,3894,557,1817,4
274,0,3886,3886,3886,26,1755,4
275,0,3878,3878,3878,1545,1808,4
276,0,3878,3878,3878,597,1327,4
277,0,3861,3861,3861,462,1299,4
278,0,3845,3845,3845,1599,586,4
279,0,3841,3841,3841,1262,1747,4
280,0,3841,3841,3841,1056,1659,4
281,0,3839,3839,3839,705,351,4
282,0,3837,3837,3837,1667,1944,4
283,0,3837,3837,3837,215,1678,4
284,0,3835,3835,3835,375,1219,4
285,0,3833,3833,3833,1075,1331,4
286,0,3833,3833,3833,1163,1038,4
287,0,3823,3823,3823,479,1489,4
288,0,3810,3810,3810,1042,1989,4
289,0,3808,3808,3808,555,1620,4
290,0,3806,3806,3806,1098,2038,4
291,0,3802,3802,3802,365,1100,4
292,0,3796,3796,3796,1803,1635,4
293,0,3794,3794,3794,910,1126,4
294,0,3768,3768,3768,1156,915,4
295,0,3757,3757,3757,1177,1598,4
296,0,3757,3757,3757,1200,701,4
297,0,3751,3751,3751,1100,1827,4
298,0,3725,3725,3725,604,332,4
299,0,3712,3712,3712,1362,67,4
300,0,3710,3710,3710,808,1632,4
301,0,3710,3710,3710,719,1016,4
302,0,3700,3700,3700,1765,1733,4
303,0,3680,3680,3680,266,1618,4
304,0,3666,3666,3666,1553,1856,4
305,0,3666,3666,3666,1872,1596,4
306,0,3658,3658,3658,1265,573,4
307,0,3657,3657,3657,11,1854,4
308,0,3655,3655,3655,1300,41,4
309,0,3649,3649,3649,594,1431,4
310,0,3641,3641,3641,1157,1543,4
311,0,3629,3629,3629,1090,1708,4
312,0,3627,3627,3627,800,577,4
313,0,3625,3625,3625,530,2018,4
314,0,3623,3623,3623,1312,1631,4
315,0,3613,3613,3613,1030,1699,4
316,0,3613,3613,3613,370,1613,4
317,0,3602,3602,3602,614,1411,4
318,0,3598,3598,3598,1087,1095,4
319,0,3594,3594,3594,1640,1575,4
320,0,3592,3592,3592,1693,1956,4
321,0,3582,3582,3582,432,1181,4
322,0,3580,3580,3580,1318,103,4
323,0,3574,3574,3574,534,1241,4
324,0,3570,3570,3570,226,1750,4
325,0,3570,3570,3570,1623,1043,4
326,0,3568,3568,3568,584,2018,4
327,0,3566,3566,3566,1220,1089,4
328,0,3566,3566,3566,1231,800,4
329,0,3562,3562,3562,650,449,4
330,0,3560,3560,3560,548,599,4
331,0,3558,3558,3558,1233,187,4
332,0,3556,3556,3556,1739,1230,4
333,0,3556,3556,3556,1174,219,4
334,0,3554,3554,3554,1888,1741,4
335,0,3554,3554,3554,1115,1020,4
336,0,3549,3549,3549,582,1526,4
337,0,3545,3545,3545,39,1849,4
338,0,3543,3543,3543,1327,2001,4
339,0,3539,3539,3539,532,1670,4
340,0,3533,3533,3533,660,1032,4
341,0,3533,3533,3533,632,651,4
342,0,3531,3531,3531,1693,1708,4
343,0,3527,3527,3527,620,602,4
344,0,3521,3521,3521,1512,1000,4
345,0,3521,3521,3521,467,720,4
346,0,3515,3515,3515,149,1587,4
347,0,3509,3509,3509,1158,528,4
348,0,3497,3497,3497,499,1110,4
349,0,3496,3496,3496,998,1566,4
350,0,3494,3494,3494,1384,1088,4
351,0,3492,3492,3492,913,1930,4
352,0,3488,3488,3488,908,1266,4
353,0,3482,3482,3482,1234,259,4
354,0,3474,3474,3474,1640,1612,4
355,0,3470,3470,3470,626,1601,4
356,0,3470,3470,3470,1299,171,4
357,0,3464,3464,3464,1033,104,4
358,0,3452,3452,3452,377,1541,4
359,0,3450,3450,3450,1628,1381,4
360,0,3444,3444,3444,1594,810,4
361,0,3442,3442,3442,634,1168,4
362,0,3431,3431,3431,1234,163,4
363,0,3427,3427,3427,533,1136,4
364,0,3425,3425,3425,590,1030,4
365,0,3421,3421,3421,799,1650,4
366,0,3421,3421,3421,384,1573,4
367,0,3411,3411,3411,1089,2003,4
368,0,3411,3411,3411,904,1697,4
369,0,3407,3407,3407,1159,1825,4
370,0,3405,3405,3405,709,578,4
371,0,3403,3403,3403,1262,153,4
372,0,3399,3399,3399,744,686,4
373,0,3391,3391,3391,562,574,4
374,0,3386,3386,3386,509,394,4
375,0,3384,3384,3384,1181,723,4
376,0,3382,3382,3382,1316,1296,4
377,0,3382,3382,3382,1194,710,4
378,0,3380,3380,3380,932,1231,4
379,0,3376,3376,3376,625,1455,4
380,0,3376,3376,3376,1335,1007,4
381,0,3372,3372,3372,1650,631,4
382,0,3368,3368,3368,609,396,4
383,0,3366,3366,3366,984,67,4
384,0,3364,3364,3364,421,1288,4
385,0,3364,3364,3364,1686,665,4
386,0,3362,3362,3362,353,1553,4
387,0,3362,3362,3362,184,1476,4
388,0,3354,3354,3354,1108,465,4
389,0,3352,3352,3352,494,1006,4
390,0,3350,3350,3350,538,2038,4
391,0,3344,3344,3344,1690,1333,4
392,0,3340,3340,3340,641,1381,4
393,0,3340,3340,3340,1606,1202,4
394,0,3336,3336,3336,1897,1528,4
395,0,3336,3336,3336,1624,435,4
396,0,3333,3333,3333,1096,213,4
397,0,3329,3329,3329,1028,1338,4
398,0,3325,3325,3325,992,174,4
399,0,3321,3321,3321,499,1093,4
400,0,3319,3319,3319,715,1797,4
401,0,3319,3319,3319,1718,1188,4
402,0,3315,3315,3315,1653,1199,4
403,0,3307,3307,3307,1727,1824,4
