 ,Area,Mean,Min,Max,X,Y
1,0,9304,9304,9304,1091,775
2,0,8248,8248,8248,815,1577
3,0,7510,7510,7510,63,2050
4,0,7039,7039,7039,1434,482
5,0,6359,6359,6359,1391,618
6,0,6249,6249,6249,1222,1579
7,0,6237,6237,6237,1724,1938
8,0,6161,6161,6161,219,2051
9,0,5991,5991,5991,542,508
10,0,5950,5950,5950,1599,586
11,0,5910,5910,5910,1661,775
12,0,5903,5903,5903,1283,240
13,0,5899,5899,5899,1645,1216
14,0,5856,5856,5856,1450,970
15,0,5852,5852,5852,1670,648
16,0,5753,5753,5753,1673,832
17,0,5746,5746,5746,1504,642
18,0,5744,5744,5744,1675,859
19,0,5717,5717,5717,1151,989
20,0,5659,5659,5659,1319,511
21,0,5629,5629,5629,1045,1066
22,0,5598,5598,5598,1646,1300
23,0,5524,5524,5524,1566,690
24,0,5488,5488,5488,1424,211
25,0,5484,5484,5484,1356,173
26,0,5421,5421,5421,1349,862
27,0,5410,5410,5410,1309,750
28,0,5353,5353,5353,1673,1140
29,0,5353,5353,5353,1366,601
30,0,5324,5324,5324,1435,1096
31,0,5324,5324,5324,1585,686
32,0,5317,5317,5317,871,486
33,0,5306,5306,5306,732,712
34,0,5261,5261,5261,1422,355
35,0,5250,5250,5250,1465,648
36,0,5181,5181,5181,1105,330
37,0,5172,5172,5172,1582,822
38,0,5161,5161,5161,1383,802
39,0,5147,5147,5147,1511,904
40,0,5147,5147,5147,1503,902
41,0,5142,5142,5142,1408,735
42,0,5140,5140,5140,1407,281
43,0,5138,5138,5138,1511,131
44,0,5125,5125,5125,1409,1143
45,0,5095,5095,5095,1454,88
46,0,5082,5082,5082,1695,1123
47,0,5082,5082,5082,1538,93
48,0,5071,5071,5071,1547,703
49,0,5035,5035,5035,1437,103
50,0,5024,5024,5024,1726,2047
51,0,5017,5017,5017,1565,598
52,0,4997,4997,4997,1228,658
53,0,4976,4976,4976,1161,367
54,0,4961,4961,4961,1230,74
55,0,4958,4958,4958,1591,679
56,0,4950,4950,4950,1737,1351
57,0,4950,4950,4950,1693,1169
58,0,4947,4947,4947,1621,935
59,0,4943,4943,4943,469,882
60,0,4940,4940,4940,1381,546
61,0,4936,4936,4936,1093,1494
62,0,4934,4934,4934,1570,785
63,0,4932,4932,4932,1471,332
64,0,4914,4914,4914,1672,1547
65,0,4914,4914,4914,1428,443
66,0,4909,4909,4909,1667,1022
67,0,4887,4887,4887,1385,430
68,0,4871,4871,4871,1244,379
69,0,4864,4864,4864,1306,181
70,0,4860,4860,4860,1353,504
71,0,4851,4851,4851,633,310
72,0,4833,4833,4833,1452,460
73,0,4824,4824,4824,1664,789
74,0,4820,4820,4820,1159,857
75,0,4819,4819,4819,1494,929
76,0,4806,4806,4806,1692,751
77,0,4804,4804,4804,1547,982
78,0,4797,4797,4797,1609,497
79,0,4792,4792,4792,1392,576
80,0,4781,4781,4781,1350,837
81,0,4779,4779,4779,1390,539
82,0,4777,4777,4777,1423,481
83,0,4777,4777,4777,1037,80
84,0,4772,4772,4772,1511,68
85,0,4761,4761,4761,718,577
86,0,4746,4746,4746,1431,933
87,0,4734,4734,4734,1526,473
88,0,4728,4728,4728,1447,70
89,0,4725,4725,4725,1549,663
90,0,4721,4721,4721,699,1249
91,0,4709,4709,4709,1364,352
92,0,4707,4707,4707,1538,728
93,0,4705,4705,4705,1404,646
94,0,4703,4703,4703,1550,617
95,0,4680,4680,4680,1513,914
96,0,4674,4674,4674,1302,1294
97,0,4669,4669,4669,1275,566
98,0,4662,4662,4662,1567,664
99,0,4649,4649,4649,1380,702
100,0,4649,4649,4649,1546,545
101,0,4638,4638,4638,1051,654
102,0,4636,4636,4636,1431,409
103,0,4633,4633,4633,1211,563
104,0,4629,4629,4629,423,1325
105,0,4609,4609,4609,1632,1626
106,0,4609,4609,4609,1459,993
107,0,4609,4609,4609,1483,761
108,0,4608,4608,4608,1600,599
109,0,4599,4599,4599,1415,1221
110,0,4597,4597,4597,1394,557
111,0,4588,4588,4588,1644,644
112,0,4586,4586,4586,1373,1112
113,0,4586,4586,4586,1336,836
114,0,4584,4584,4584,1505,1683
115,0,4584,4584,4584,1337,1126
116,0,4582,4582,4582,1221,583
117,0,4581,4581,4581,1279,183
118,0,4557,4557,4557,1343,489
119,0,4544,4544,4544,1603,1270
120,0,4543,4543,4543,1421,1075
121,0,4537,4537,4537,1300,447
122,0,4534,4534,4534,1157,409
123,0,4530,4530,4530,1590,814
