 ,Area,Mean,Min,Max,X,Y
1,0,21428,21428,21428,717,1596
2,0,20658,20658,20658,508,929
3,0,18278,18278,18278,1860,558
4,0,15257,15257,15257,1964,1212
5,0,14350,14350,14350,1123,141
6,0,14060,14060,14060,360,1159
7,0,13876,13876,13876,481,1262
8,0,13624,13624,13624,1431,725
9,0,13430,13430,13430,685,597
10,0,12311,12311,12311,0,892
11,0,11031,11031,11031,54,650
12,0,10987,10987,10987,43,659
13,0,10612,10612,10612,888,329
14,0,10406,10406,10406,1382,788
15,0,10253,10253,10253,696,1304
16,0,9860,9860,9860,111,1390
17,0,9853,9853,9853,51,1258
18,0,9806,9806,9806,39,713
19,0,9757,9757,9757,12,913
20,0,9709,9709,9709,39,1335
21,0,9694,9694,9694,34,1245
22,0,9573,9573,9573,63,1275
23,0,9562,9562,9562,1953,35
24,0,9547,9547,9547,38,1233
25,0,9501,9501,9501,15,906
26,0,9453,9453,9453,1495,896
27,0,9103,9103,9103,2,1216
28,0,9091,9091,9091,1660,1361
29,0,9085,9085,9085,64,1085
30,0,9073,9073,9073,45,1297
31,0,8880,8880,8880,15,1330
32,0,8809,8809,8809,1583,889
33,0,8630,8630,8630,1740,846
34,0,8552,8552,8552,1965,863
35,0,8551,8551,8551,1979,1501
36,0,8485,8485,8485,1673,969
37,0,8439,8439,8439,522,818
38,0,8381,8381,8381,20,1373
39,0,8369,8369,8369,1967,1397
40,0,8353,8353,8353,78,731
41,0,8296,8296,8296,1891,884
42,0,8284,8284,8284,43,683
43,0,8274,8274,8274,14,1291
44,0,8238,8238,8238,1654,1400
45,0,8211,8211,8211,35,1505
46,0,8132,8132,8132,685,814
47,0,8054,8054,8054,1806,578
48,0,8043,8043,8043,497,916
49,0,8025,8025,8025,1271,891
50,0,8016,8016,8016,1193,972
51,0,7990,7990,7990,1705,955
52,0,7919,7919,7919,1739,1004
53,0,7909,7909,7909,100,1495
54,0,7907,7907,7907,1908,1322
55,0,7878,7878,7878,1867,997
56,0,7864,7864,7864,11,1256
57,0,7825,7825,7825,47,310
58,0,7796,7796,7796,658,1255
59,0,7760,7760,7760,1714,985
60,0,7737,7737,7737,18,723
61,0,7641,7641,7641,749,604
62,0,7624,7624,7624,644,919
63,0,7608,7608,7608,592,746
64,0,7580,7580,7580,1877,1349
65,0,7536,7536,7536,991,802
66,0,7527,7527,7527,571,721
67,0,7518,7518,7518,67,868
68,0,7515,7515,7515,1678,707
69,0,7507,7507,7507,1775,551
70,0,7489,7489,7489,1935,763
71,0,7477,7477,7477,702,1576
72,0,7469,7469,7469,456,1331
73,0,7450,7450,7450,715,1261
74,0,7427,7427,7427,1616,1438
75,0,7425,7425,7425,785,1251
76,0,7415,7415,7415,1848,1530
77,0,7395,7395,7395,1754,940
78,0,7386,7386,7386,1423,245
79,0,7353,7353,7353,1926,95
80,0,7344,7344,7344,1686,757
81,0,7309,7309,7309,1169,896
82,0,7293,7293,7293,1802,788
83,0,7287,7287,7287,525,900
84,0,7283,7283,7283,4,1347
85,0,7275,7275,7275,79,699
86,0,7274,7274,7274,227,1095
87,0,7272,7272,7272,830,701
88,0,7224,7224,7224,1596,687
89,0,7188,7188,7188,1833,922
90,0,7171,7171,7171,1389,237
91,0,7161,7161,7161,1029,984
92,0,7153,7153,7153,748,1236
93,0,7147,7147,7147,682,633
94,0,7146,7146,7146,107,1419
95,0,7135,7135,7135,555,876
96,0,7131,7131,7131,1820,671
97,0,7130,7130,7130,982,776
98,0,7081,7081,7081,658,648
99,0,7076,7076,7076,1808,1456
100,0,7064,7064,7064,1673,1459
101,0,7053,7053,7053,1124,949
102,0,7048,7048,7048,606,758
103,0,7045,7045,7045,1165,590
104,0,7039,7039,7039,1365,1333
105,0,7034,7034,7034,1067,838
106,0,7025,7025,7025,819,1338
107,0,7021,7021,7021,24,1222
108,0,6968,6968,6968,611,983
109,0,6953,6953,6953,1777,924
110,0,6944,6944,6944,172,848
111,0,6936,6936,6936,49,780
112,0,6929,6929,6929,1878,972
113,0,6917,6917,6917,686,1331
114,0,6907,6907,6907,1681,1287
115,0,6871,6871,6871,1273,905
116,0,6863,6863,6863,582,739
117,0,6855,6855,6855,437,605
118,0,6850,6850,6850,4,703
119,0,6844,6844,6844,1373,1358
120,0,6836,6836,6836,604,1183
121,0,6821,6821,6821,1052,964
122,0,6817,6817,6817,1761,1383
123,0,6815,6815,6815,1623,1383
124,0,6813,6813,6813,1244,1606
125,0,6804,6804,6804,1991,739
126,0,6784,6784,6784,746,1336
127,0,6765,6765,6765,1653,588
128,0,6753,6753,6753,1476,985
129,0,6745,6745,6745,1389,244
130,0,6743,6743,6743,1814,744
131,0,6742,6742,6742,1735,903
132,0,6720,6720,6720,768,699
133,0,6695,6695,6695,116,1419
134,0,6679,6679,6679,19,1286
135,0,6652,6652,6652,1318,1248
136,0,6629,6629,6629,1937,1402
137,0,6622,6622,6622,540,637
138,0,6613,6613,6613,645,1209
139,0,6600,6600,6600,461,799
140,0,6598,6598,6598,825,723
141,0,6583,6583,6583,590,1361
142,0,6576,6576,6576,1024,911
143,0,6576,6576,6576,706,867
144,0,6567,6567,6567,526,860
145,0,6567,6567,6567,659,638
146,0,6560,6560,6560,1007,636
147,0,6557,6557,6557,1980,825
148,0,6553,6553,6553,1845,1602
149,0,6547,6547,6547,624,915
150,0,6536,6536,6536,591,1572
151,0,6536,6536,6536,1236,189
152,0,6528,6528,6528,1992,716
153,0,6526,6526,6526,760,804
154,0,6525,6525,6525,61,1563
155,0,6524,6524,6524,82,1527
156,0,6521,6521,6521,1819,1418
157,0,6510,6510,6510,1561,805
158,0,6498,6498,6498,1168,941
159,0,6477,6477,6477,548,695
160,0,6468,6468,6468,0,1095
161,0,6437,6437,6437,497,655
162,0,6415,6415,6415,1909,1389
163,0,6408,6408,6408,1598,248
164,0,6406,6406,6406,47,255
165,0,6402,6402,6402,677,940
166,0,6401,6401,6401,1930,1257
167,0,6362,6362,6362,660,1299
168,0,6358,6358,6358,489,857
169,0,6354,6354,6354,1752,1024
170,0,6354,6354,6354,694,900
171,0,6346,6346,6346,1971,773
172,0,6345,6345,6345,601,1411
173,0,6335,6335,6335,1194,1334
174,0,6331,6331,6331,662,1556
175,0,6320,6320,6320,1905,615
176,0,6311,6311,6311,1878,904
177,0,6311,6311,6311,728,618
178,0,6311,6311,6311,1338,335
179,0,6287,6287,6287,965,72
180,0,6277,6277,6277,669,673
181,0,6275,6275,6275,798,221
182,0,6270,6270,6270,80,787
183,0,6265,6265,6265,1872,1499
184,0,6256,6256,6256,1657,639
185,0,6235,6235,6235,1592,652
186,0,6226,6226,6226,1093,246
187,0,6223,6223,6223,596,905
188,0,6221,6221,6221,619,1232
189,0,6210,6210,6210,1881,1416
190,0,6200,6200,6200,65,810
191,0,6200,6200,6200,1240,550
192,0,6182,6182,6182,17,194
193,0,6180,6180,6180,811,696
194,0,6174,6174,6174,1851,721
195,0,6141,6141,6141,1382,1355
196,0,6129,6129,6129,731,1553
197,0,6122,6122,6122,1658,1323
198,0,6114,6114,6114,1077,1475
199,0,6112,6112,6112,105,1358
200,0,6112,6112,6112,548,883
201,0,6081,6081,6081,1588,783
202,0,6079,6079,6079,732,1036
203,0,6077,6077,6077,1730,1246
204,0,6074,6074,6074,666,616
205,0,6042,6042,6042,388,819
206,0,6028,6028,6028,1103,1257
207,0,6028,6028,6028,453,800
208,0,6000,6000,6000,1681,1310
209,0,5996,5996,5996,1157,717
210,0,5988,5988,5988,1674,1485
211,0,5985,5985,5985,579,1539
212,0,5985,5985,5985,1132,1223
213,0,5974,5974,5974,87,304
214,0,5954,5954,5954,1175,1220
215,0,5947,5947,5947,1798,1478
216,0,5947,5947,5947,1343,967
217,0,5926,5926,5926,525,825
218,0,5922,5922,5922,1163,315
219,0,5919,5919,5919,476,904
220,0,5907,5907,5907,1927,956
221,0,5899,5899,5899,1170,568
222,0,5899,5899,5899,1678,335
223,0,5888,5888,5888,1936,1464
224,0,5883,5883,5883,1823,1448
225,0,5875,5875,5875,1891,861
226,0,5868,5868,5868,580,1392
227,0,5866,5866,5866,33,691
228,0,5866,5866,5866,439,46
229,0,5850,5850,5850,1344,899
230,0,5844,5844,5844,1907,966
231,0,5840,5840,5840,1605,662
232,0,5833,5833,5833,1407,791
233,0,5831,5831,5831,1596,832
234,0,5821,5821,5821,1347,316
235,0,5818,5818,5818,1205,976
236,0,5818,5818,5818,539,833
237,0,5815,5815,5815,135,1454
238,0,5815,5815,5815,577,1424
239,0,5810,5810,5810,1294,979
240,0,5776,5776,5776,973,522
241,0,5775,5775,5775,1002,748
242,0,5759,5759,5759,1150,1355
243,0,5739,5739,5739,702,935
244,0,5739,5739,5739,1804,718
245,0,5724,5724,5724,1125,796
246,0,5718,5718,5718,1846,1393
247,0,5718,5718,5718,1820,356
248,0,5714,5714,5714,846,790
249,0,5710,5710,5710,0,294
250,0,5706,5706,5706,61,1239
251,0,5701,5701,5701,777,1356
252,0,5690,5690,5690,545,1396
253,0,5690,5690,5690,761,673
254,0,5687,5687,5687,516,1441
255,0,5687,5687,5687,1619,652
256,0,5687,5687,5687,1551,76
257,0,5674,5674,5674,1627,890
258,0,5663,5663,5663,684,668
259,0,5658,5658,5658,634,661
260,0,5650,5650,5650,759,1431
261,0,5650,5650,5650,792,1325
262,0,5650,5650,5650,1323,880
263,0,5648,5648,5648,94,780
264,0,5632,5632,5632,1912,1270
265,0,5627,5627,5627,752,1487
266,0,5624,5624,5624,54,247
267,0,5615,5615,5615,1586,109
268,0,5607,5607,5607,85,313
269,0,5605,5605,5605,1861,310
270,0,5601,5601,5601,1272,1578
271,0,5592,5592,5592,76,198
272,0,5586,5586,5586,807,1266
273,0,5585,5585,5585,1609,936
274,0,5578,5578,5578,971,742
275,0,5567,5567,5567,1194,567
276,0,5558,5558,5558,575,814
277,0,5547,5547,5547,1348,632
278,0,5524,5524,5524,699,642
279,0,5512,5512,5512,1268,832
280,0,5484,5484,5484,51,1333
281,0,5483,5483,5483,625,873
282,0,5480,5480,5480,1270,816
283,0,5475,5475,5475,1728,731
284,0,5469,5469,5469,1796,342
285,0,5464,5464,5464,18,1462
286,0,5464,5464,5464,1604,128
287,0,5462,5462,5462,1870,873
288,0,5457,5457,5457,206,570
289,0,5446,5446,5446,611,84
290,0,5444,5444,5444,1968,1312
291,0,5437,5437,5437,1067,1416
292,0,5430,5430,5430,1918,647
293,0,5429,5429,5429,1100,882
294,0,5417,5417,5417,445,1410
295,0,5405,5405,5405,1856,922
296,0,5399,5399,5399,1146,917
297,0,5394,5394,5394,1890,1463
298,0,5367,5367,5367,420,990
299,0,5363,5363,5363,1807,1398
300,0,5355,5355,5355,522,1476
301,0,5347,5347,5347,632,1245
302,0,5334,5334,5334,658,1520
303,0,5326,5326,5326,1212,1044
304,0,5325,5325,5325,547,1300
305,0,5322,5322,5322,1731,594
306,0,5318,5318,5318,1916,885
307,0,5313,5313,5313,1085,873
308,0,5310,5310,5310,136,1474
309,0,5299,5299,5299,1216,1423
310,0,5291,5291,5291,1973,232
311,0,5287,5287,5287,468,1233
312,0,5279,5279,5279,1748,740
313,0,5268,5268,5268,63,75
314,0,5251,5251,5251,434,1444
315,0,5246,5246,5246,1177,773
316,0,5232,5232,5232,514,736
317,0,5228,5228,5228,500,930
318,0,5228,5228,5228,1965,107
319,0,5224,5224,5224,77,1463
320,0,5217,5217,5217,468,882
321,0,5217,5217,5217,969,84
322,0,5211,5211,5211,661,807
323,0,5205,5205,5205,488,1504
324,0,5194,5194,5194,580,656
325,0,5192,5192,5192,432,1560
326,0,5192,5192,5192,1376,739
327,0,5182,5182,5182,1884,1521
328,0,5180,5180,5180,1943,212
329,0,5176,5176,5176,757,966
330,0,5172,5172,5172,1588,829
331,0,5170,5170,5170,691,723
332,0,5170,5170,5170,1894,338
333,0,5167,5167,5167,1168,1236
334,0,5163,5163,5163,617,1565
335,0,5161,5161,5161,1828,538
336,0,5157,5157,5157,1607,191
337,0,5145,5145,5145,684,883
338,0,5143,5143,5143,1931,1483
339,0,5132,5132,5132,1733,808
340,0,5131,5131,5131,1647,911
341,0,5130,5130,5130,1673,1475
342,0,5128,5128,5128,1148,1217
343,0,5128,5128,5128,665,969
344,0,5124,5124,5124,1331,1428
345,0,5120,5120,5120,1872,1484
346,0,5104,5104,5104,1328,662
347,0,5097,5097,5097,104,1681
348,0,5092,5092,5092,1092,906
349,0,5079,5079,5079,620,1271
350,0,5061,5061,5061,624,600
351,0,5058,5058,5058,195,580
352,0,5054,5054,5054,726,1493
353,0,5052,5052,5052,77,1336
354,0,5042,5042,5042,1237,1528
355,0,5036,5036,5036,639,1509
356,0,5033,5033,5033,196,574
357,0,5031,5031,5031,1242,1563
358,0,5030,5030,5030,646,1329
359,0,5029,5029,5029,1852,831
360,0,5027,5027,5027,734,853
361,0,5018,5018,5018,665,985
362,0,5018,5018,5018,1187,870
363,0,5014,5014,5014,657,848
364,0,5014,5014,5014,10,119
365,0,4998,4998,4998,527,867
366,0,4998,4998,4998,1370,845
367,0,4996,4996,4996,1557,681
368,0,4995,4995,4995,1331,295
369,0,4994,4994,4994,496,1350
370,0,4991,4991,4991,1940,722
371,0,4986,4986,4986,961,1607
372,0,4986,4986,4986,957,863
373,0,4978,4978,4978,1681,839
374,0,4972,4972,4972,1270,1215
375,0,4972,4972,4972,742,916
376,0,4968,4968,4968,476,636
377,0,4964,4964,4964,825,910
378,0,4963,4963,4963,562,333
379,0,4961,4961,4961,724,1361
380,0,4944,4944,4944,626,997
381,0,4943,4943,4943,491,794
382,0,4941,4941,4941,109,756
383,0,4939,4939,4939,1078,895
384,0,4928,4928,4928,844,849
385,0,4917,4917,4917,430,1302
386,0,4912,4912,4912,1492,152
387,0,4906,4906,4906,1275,1155
388,0,4906,4906,4906,153,535
389,0,4897,4897,4897,769,880
390,0,4889,4889,4889,992,910
391,0,4886,4886,4886,844,1307
392,0,4885,4885,4885,1712,729
393,0,4879,4879,4879,1838,710
394,0,4875,4875,4875,727,785
395,0,4858,4858,4858,1108,1458
396,0,4852,4852,4852,1902,787
397,0,4847,4847,4847,1233,624
398,0,4838,4838,4838,141,1264
399,0,4828,4828,4828,1804,1020
400,0,4819,4819,4819,771,196
401,0,4812,4812,4812,40,738
402,0,4812,4812,4812,1553,264
403,0,4805,4805,4805,615,1533
404,0,4804,4804,4804,1069,641
405,0,4801,4801,4801,5,1444
406,0,4801,4801,4801,1298,205
407,0,4798,4798,4798,1319,949
408,0,4797,4797,4797,614,1053
409,0,4790,4790,4790,776,789
410,0,4786,4786,4786,632,592
411,0,4784,4784,4784,521,842
412,0,4778,4778,4778,1705,878
413,0,4777,4777,4777,723,193
414,0,4772,4772,4772,1725,1589
415,0,4770,4770,4770,108,54
416,0,4766,4766,4766,1213,1258
417,0,4765,4765,4765,273,1323
418,0,4762,4762,4762,1297,1489
419,0,4761,4761,4761,1680,247
420,0,4757,4757,4757,1061,797
421,0,4753,4753,4753,1841,624
422,0,4750,4750,4750,1344,746
423,0,4747,4747,4747,1733,1605
424,0,4745,4745,4745,1106,1435
425,0,4739,4739,4739,1238,1224
426,0,4739,4739,4739,798,806
427,0,4737,4737,4737,473,1268
428,0,4735,4735,4735,1968,1563
429,0,4734,4734,4734,629,907
430,0,4731,4731,4731,1239,739
431,0,4722,4722,4722,1559,772
432,0,4719,4719,4719,1002,1346
433,0,4716,4716,4716,141,747
434,0,4715,4715,4715,775,1250
435,0,4711,4711,4711,77,216
436,0,4710,4710,4710,1615,794
437,0,4708,4708,4708,750,225
438,0,4703,4703,4703,1002,1471
439,0,4702,4702,4702,1137,282
440,0,4695,4695,4695,463,101
441,0,4688,4688,4688,1897,1608
442,0,4688,4688,4688,1726,736
443,0,4679,4679,4679,463,321
444,0,4679,4679,4679,317,295
445,0,4677,4677,4677,1788,527
446,0,4673,4673,4673,1614,849
447,0,4672,4672,4672,571,304
448,0,4672,4672,4672,1251,283
449,0,4666,4666,4666,716,754
450,0,4666,4666,4666,145,60
451,0,4657,4657,4657,1080,1266
452,0,4649,4649,4649,1109,1291
453,0,4648,4648,4648,1899,1524
454,0,4646,4646,4646,825,214
455,0,4644,4644,4644,1790,940
456,0,4642,4642,4642,800,1488
457,0,4641,4641,4641,1331,724
458,0,4637,4637,4637,1511,1311
459,0,4634,4634,4634,850,804
460,0,4633,4633,4633,745,755
461,0,4633,4633,4633,736,304
462,0,4633,4633,4633,1490,120
463,0,4631,4631,4631,1830,745
464,0,4630,4630,4630,1389,724
465,0,4605,4605,4605,673,982
466,0,4605,4605,4605,1650,252
467,0,4603,4603,4603,545,1459
468,0,4603,4603,4603,1117,763
469,0,4595,4595,4595,22,1571
470,0,4591,4591,4591,1869,283
471,0,4590,4590,4590,1940,1357
472,0,4583,4583,4583,688,645
473,0,4582,4582,4582,1488,74
474,0,4579,4579,4579,1301,1249
475,0,4563,4563,4563,442,1445
476,0,4563,4563,4563,667,349
477,0,4561,4561,4561,1037,148
478,0,4560,4560,4560,1241,909
479,0,4556,4556,4556,49,835
480,0,4544,4544,4544,809,1488
481,0,4541,4541,4541,1235,1409
482,0,4536,4536,4536,1864,12
483,0,4535,4535,4535,51,1419
484,0,4520,4520,4520,1836,1425
485,0,4520,4520,4520,610,722
486,0,4516,4516,4516,662,285
487,0,4509,4509,4509,777,825
488,0,4508,4508,4508,1580,788
489,0,4506,4506,4506,1150,1434
490,0,4505,4505,4505,417,786
491,0,4499,4499,4499,1989,68
492,0,4497,4497,4497,634,1567
493,0,4497,4497,4497,654,889
494,0,4490,4490,4490,801,1251
495,0,4489,4489,4489,1156,795
496,0,4489,4489,4489,1155,588
497,0,4487,4487,4487,1938,1451
498,0,4485,4485,4485,519,1220
499,0,4479,4479,4479,425,1629
500,0,4478,4478,4478,584,1327
501,0,4475,4475,4475,1,357
502,0,4471,4471,4471,486,716
503,0,4470,4470,4470,35,291
504,0,4469,4469,4469,1743,299
505,0,4464,4464,4464,733,954
506,0,4464,4464,4464,1659,91
507,0,4462,4462,4462,451,692
508,0,4452,4452,4452,76,18
509,0,4444,4444,4444,1237,166
510,0,4431,4431,4431,298,925
511,0,4428,4428,4428,1950,938
512,0,4428,4428,4428,1744,333
513,0,4423,4423,4423,1678,633
514,0,4421,4421,4421,24,873
515,0,4417,4417,4417,632,1225
516,0,4417,4417,4417,1010,384
517,0,4417,4417,4417,924,92
518,0,4413,4413,4413,1808,340
