 ,Area,Mean,Min,Max,X,Y,Slice
1,0,3913,3913,3913,1677,1177,1
2,0,3472,3472,3472,764,822,1
3,0,3444,3444,3444,1033,596,1
4,0,3392,3392,3392,714,1232,1
5,0,3356,3356,3356,1501,383,1
6,0,3338,3338,3338,1026,497,1
7,0,3335,3335,3335,1651,733,1
8,0,3328,3328,3328,1046,504,1
9,0,3326,3326,3326,1075,466,1
10,0,3312,3312,3312,1064,511,1
11,0,3308,3308,3308,1589,778,1
12,0,3306,3306,3306,1073,486,1
13,0,3270,3270,3270,1052,491,1
14,0,3242,3242,3242,1766,926,1
15,0,3239,3239,3239,1612,926,1
16,0,3233,3233,3233,1063,503,1
17,0,3215,3215,3215,1365,1097,1
18,0,3210,3210,3210,856,770,1
19,0,3177,3177,3177,1208,1215,1
20,0,3174,3174,3174,1620,926,1
21,0,3154,3154,3154,1672,630,1
22,0,3148,3148,3148,1492,510,1
23,0,3107,3107,3107,783,1071,1
24,0,3103,3103,3103,366,991,1
25,0,3084,3084,3084,1773,835,1
26,0,3055,3055,3055,1501,899,1
27,0,3047,3047,3047,1679,934,1
28,0,3039,3039,3039,1364,644,1
29,0,3015,3015,3015,1661,1245,1
30,0,2986,2986,2986,1603,844,1
31,0,2963,2963,2963,1738,923,1
32,0,2953,2953,2953,1687,1112,1
33,0,2951,2951,2951,1315,1152,1
34,0,2951,2951,2951,1198,589,1
35,0,2947,2947,2947,1639,1242,1
36,0,2903,2903,2903,1498,1131,1
37,0,2901,2901,2901,522,401,1
38,0,2889,2889,2889,490,1109,1
39,0,2880,2880,2880,806,845,1
40,0,2878,2878,2878,1495,284,1
41,0,2878,2878,2878,1661,222,1
42,0,2873,2873,2873,1668,1179,1
43,0,2872,2872,2872,1765,560,1
44,0,2863,2863,2863,361,1143,1
45,0,2860,2860,2860,1311,1109,1
46,0,2853,2853,2853,1352,1067,1
47,0,2838,2838,2838,1779,460,1
48,0,2831,2831,2831,1452,893,1
49,0,2825,2825,2825,1789,828,1
50,0,2822,2822,2822,1607,769,1
51,0,2811,2811,2811,1305,861,1
52,0,2808,2808,2808,1195,241,1
53,0,2797,2797,2797,1687,605,1
54,0,2795,2795,2795,460,110,1
55,0,2792,2792,2792,848,773,1
56,0,2792,2792,2792,1087,483,1
57,0,2777,2777,2777,1781,1117,1
58,0,2777,2777,2777,1406,594,1
59,0,2775,2775,2775,1799,836,1
60,0,2772,2772,2772,636,720,1
61,0,2771,2771,2771,882,423,1
62,0,2750,2750,2750,1185,1169,1
63,0,2749,2749,2749,1414,798,1
64,0,2740,2740,2740,1041,1112,1
65,0,2737,2737,2737,1166,629,1
66,0,2737,2737,2737,1432,295,1
67,0,2734,2734,2734,1595,1144,1
68,0,2732,2732,2732,706,92,1
69,0,2722,2722,2722,1535,811,1
70,0,2718,2718,2718,1450,1243,1
71,0,2714,2714,2714,1655,948,1
