 ,Area,Mean,Min,Max,X,Y
1,0,6761,6761,6761,1037,1435
2,0,6615,6615,6615,950,827
3,0,6597,6597,6597,30,471
4,0,6540,6540,6540,752,1314
5,0,6480,6480,6480,636,1268
6,0,6411,6411,6411,1132,1149
7,0,6332,6332,6332,1046,1443
8,0,6267,6267,6267,479,1272
9,0,6255,6255,6255,704,1372
10,0,6219,6219,6219,1452,1006
11,0,6180,6180,6180,264,1557
12,0,6091,6091,6091,977,995
13,0,6071,6071,6071,238,1247
14,0,6051,6051,6051,572,1138
15,0,6044,6044,6044,1316,1070
16,0,6025,6025,6025,492,1411
17,0,6024,6024,6024,334,1140
18,0,5983,5983,5983,742,1310
19,0,5947,5947,5947,1454,1341
20,0,5920,5920,5920,1089,1154
21,0,5913,5913,5913,768,1424
22,0,5857,5857,5857,1965,743
23,0,5836,5836,5836,720,1054
24,0,5829,5829,5829,1191,861
25,0,5825,5825,5825,722,1109
26,0,5800,5800,5800,1466,1173
27,0,5770,5770,5770,941,1266
28,0,5763,5763,5763,130,1558
29,0,5759,5759,5759,1973,1148
30,0,5753,5753,5753,380,1205
31,0,5751,5751,5751,1220,1222
32,0,5738,5738,5738,1242,1281
33,0,5732,5732,5732,1081,1310
34,0,5717,5717,5717,424,1037
35,0,5693,5693,5693,1841,1259
36,0,5630,5630,5630,434,1224
37,0,5627,5627,5627,144,800
38,0,5589,5589,5589,1523,983
39,0,5588,5588,5588,1844,684
40,0,5519,5519,5519,916,795
41,0,5518,5518,5518,270,1384
42,0,5512,5512,5512,891,971
43,0,5510,5510,5510,1238,841
44,0,5508,5508,5508,924,1239
45,0,5461,5461,5461,895,994
46,0,5448,5448,5448,988,1686
47,0,5429,5429,5429,390,1331
48,0,5428,5428,5428,1192,821
49,0,5402,5402,5402,1839,1176
50,0,5398,5398,5398,552,1054
51,0,5366,5366,5366,1250,1066
52,0,5357,5357,5357,1655,584
53,0,5354,5354,5354,1534,1390
54,0,5352,5352,5352,432,1350
55,0,5348,5348,5348,1897,596
56,0,5345,5345,5345,536,1042
