 ,Area,Mean,Min,Max,X,Y
1,0,1466,1466,1466,175,29
2,0,1433,1433,1433,179,22
3,0,1428,1428,1428,171,41
4,0,1356,1356,1356,377,133
5,0,1307,1307,1307,393,378
6,0,1272,1272,1272,158,63
7,0,1264,1264,1264,790,410
8,0,1233,1233,1233,388,112
9,0,1215,1215,1215,383,115
10,0,1199,1199,1199,1672,1392
11,0,1168,1168,1168,1470,1471
12,0,1160,1160,1160,745,87
13,0,1145,1145,1145,127,94
14,0,1121,1121,1121,1365,63
15,0,1094,1094,1094,648,776
16,0,1093,1093,1093,428,277
17,0,1087,1087,1087,377,125
18,0,1087,1087,1087,1178,47
19,0,1086,1086,1086,30,390
20,0,1081,1081,1081,906,856
21,0,1078,1078,1078,556,666
22,0,1074,1074,1074,1632,865
23,0,1065,1065,1065,1585,53
24,0,1064,1064,1064,1693,510
25,0,1061,1061,1061,1071,885
26,0,1057,1057,1057,1434,706
27,0,1054,1054,1054,1191,178
28,0,1053,1053,1053,1687,1175
29,0,1048,1048,1048,1512,704
30,0,1048,1048,1048,576,652
31,0,1042,1042,1042,396,110
32,0,1040,1040,1040,1712,1110
33,0,1037,1037,1037,1839,574
34,0,1035,1035,1035,1557,616
35,0,1035,1035,1035,1566,70
36,0,1026,1026,1026,1362,3
37,0,1021,1021,1021,1385,487
38,0,1018,1018,1018,1100,1432
39,0,1013,1013,1013,829,623
40,0,1008,1008,1008,1400,951
41,0,1007,1007,1007,848,671
42,0,1004,1004,1004,381,67
43,0,1003,1003,1003,375,143
44,0,987,987,987,1660,269
45,0,982,982,982,470,1442
46,0,982,982,982,659,715
47,0,981,981,981,1768,1238
48,0,979,979,979,1562,61
49,0,978,978,978,1489,1457
50,0,973,973,973,691,307
51,0,969,969,969,1682,1387
52,0,968,968,968,1501,994
53,0,967,967,967,1035,285
54,0,966,966,966,1114,623
55,0,965,965,965,1505,289
56,0,963,963,963,674,276
57,0,962,962,962,1739,1288
58,0,962,962,962,1000,1143
59,0,961,961,961,503,1214
60,0,961,961,961,1539,713
61,0,958,958,958,1001,1089
62,0,956,956,956,1028,539
63,0,954,954,954,1349,727
64,0,953,953,953,1458,384
65,0,953,953,953,405,141
66,0,952,952,952,356,816
67,0,951,951,951,1653,1135
68,0,951,951,951,1385,150
69,0,951,951,951,1539,121
70,0,950,950,950,282,1238
71,0,950,950,950,233,1120
72,0,947,947,947,937,573
73,0,947,947,947,222,0
74,0,942,942,942,1697,269
75,0,940,940,940,1335,630
76,0,939,939,939,657,52
77,0,936,936,936,596,1197
78,0,934,934,934,1753,483
79,0,933,933,933,419,202
80,0,932,932,932,606,1070
81,0,929,929,929,1302,1201
82,0,929,929,929,33,411
83,0,928,928,928,1372,700
84,0,927,927,927,822,571
85,0,927,927,927,213,90
86,0,926,926,926,312,124
87,0,925,925,925,1662,628
88,0,922,922,922,1115,1071
89,0,921,921,921,32,1202
90,0,921,921,921,640,763
91,0,921,921,921,1026,32
92,0,918,918,918,1572,887
93,0,918,918,918,336,159
94,0,914,914,914,1088,353
95,0,909,909,909,416,117
96,0,907,907,907,876,1384
97,0,907,907,907,1408,1006
98,0,906,906,906,836,568
99,0,906,906,906,1498,285
100,0,904,904,904,1185,1139
101,0,904,904,904,1824,386
